time,local_time,electricity,wind_speed
2019-01-01 00:00,,0.985,18.374
2019-01-01 01:00,,0.971,19.303
2019-01-01 02:00,,0.947,20.160
2019-01-01 03:00,,0.912,20.948
2019-01-01 04:00,,0.832,22.123
2019-01-01 05:00,,0.779,22.712
2019-01-01 06:00,,0.700,23.441
2019-01-01 07:00,,0.629,24.026
2019-01-01 08:00,,0.576,24.440
2019-01-01 09:00,,0.560,24.556
2019-01-01 10:00,,0.558,24.578
2019-01-01 11:00,,0.559,24.566
2019-01-01 12:00,,0.550,24.633
2019-01-01 13:00,,0.537,24.736
2019-01-01 14:00,,0.531,24.773
2019-01-01 15:00,,0.479,25.167
2019-01-01 16:00,,0.474,25.201
2019-01-01 17:00,,0.540,24.713
2019-01-01 18:00,,0.656,23.805
2019-01-01 19:00,,0.762,22.875
2019-01-01 20:00,,0.841,22.015
2019-01-01 21:00,,0.884,21.426
2019-01-01 22:00,,0.910,20.986
2019-01-01 23:00,,0.938,20.398
2019-01-02 00:00,,0.964,19.623
2019-01-02 01:00,,0.980,18.828
2019-01-02 02:00,,0.988,18.014
2019-01-02 03:00,,0.991,16.860
2019-01-02 04:00,,0.985,15.672
2019-01-02 05:00,,0.970,14.552
2019-01-02 06:00,,0.945,13.500
2019-01-02 07:00,,0.913,12.579
2019-01-02 08:00,,0.883,11.980
2019-01-02 09:00,,0.863,11.638
2019-01-02 10:00,,0.855,11.503
2019-01-02 11:00,,0.871,11.769
2019-01-02 12:00,,0.896,12.229
2019-01-02 13:00,,0.917,12.690
2019-01-02 14:00,,0.930,13.013
2019-01-02 15:00,,0.932,13.091
2019-01-02 16:00,,0.924,12.860
2019-01-02 17:00,,0.907,12.460
2019-01-02 18:00,,0.884,11.994
2019-01-02 19:00,,0.852,11.463
2019-01-02 20:00,,0.820,11.021
2019-01-02 21:00,,0.816,10.965
2019-01-02 22:00,,0.835,11.219
2019-01-02 23:00,,0.857,11.535
2019-01-03 00:00,,0.863,11.640
2019-01-03 01:00,,0.848,11.394
2019-01-03 02:00,,0.824,11.069
2019-01-03 03:00,,0.793,10.680
2019-01-03 04:00,,0.762,10.333
2019-01-03 05:00,,0.730,10.024
2019-01-03 06:00,,0.693,9.680
2019-01-03 07:00,,0.646,9.284
2019-01-03 08:00,,0.606,8.964
2019-01-03 09:00,,0.596,8.887
2019-01-03 10:00,,0.590,8.846
2019-01-03 11:00,,0.596,8.891
2019-01-03 12:00,,0.644,9.272
2019-01-03 13:00,,0.744,10.149
2019-01-03 14:00,,0.797,10.733
2019-01-03 15:00,,0.752,10.243
2019-01-03 16:00,,0.730,10.026
2019-01-03 17:00,,0.777,10.498
2019-01-03 18:00,,0.827,11.105
2019-01-03 19:00,,0.856,11.522
2019-01-03 20:00,,0.855,11.504
2019-01-03 21:00,,0.875,11.839
2019-01-03 22:00,,0.906,12.441
2019-01-03 23:00,,0.927,12.952
2019-01-04 00:00,,0.939,13.302
2019-01-04 01:00,,0.948,13.578
2019-01-04 02:00,,0.957,13.924
2019-01-04 03:00,,0.964,14.263
2019-01-04 04:00,,0.968,14.444
2019-01-04 05:00,,0.974,14.790
2019-01-04 06:00,,0.978,15.039
2019-01-04 07:00,,0.980,15.168
2019-01-04 08:00,,0.980,15.203
2019-01-04 09:00,,0.982,15.366
2019-01-04 10:00,,0.984,15.584
2019-01-04 11:00,,0.985,15.686
2019-01-04 12:00,,0.986,15.783
2019-01-04 13:00,,0.987,15.871
2019-01-04 14:00,,0.988,15.992
2019-01-04 15:00,,0.988,16.007
2019-01-04 16:00,,0.989,16.236
2019-01-04 17:00,,0.990,16.491
2019-01-04 18:00,,0.991,16.686
2019-01-04 19:00,,0.991,16.891
2019-01-04 20:00,,0.991,17.204
2019-01-04 21:00,,0.990,17.672
2019-01-04 22:00,,0.988,18.116
2019-01-04 23:00,,0.983,18.549
2019-01-05 00:00,,0.977,18.991
2019-01-05 01:00,,0.976,19.049
2019-01-05 02:00,,0.981,18.714
2019-01-05 03:00,,0.986,18.259
2019-01-05 04:00,,0.990,17.774
2019-01-05 05:00,,0.991,17.111
2019-01-05 06:00,,0.989,16.243
2019-01-05 07:00,,0.982,15.389
2019-01-05 08:00,,0.966,14.319
2019-01-05 09:00,,0.942,13.393
2019-01-05 10:00,,0.915,12.646
2019-01-05 11:00,,0.895,12.206
2019-01-05 12:00,,0.882,11.955
2019-01-05 13:00,,0.881,11.950
2019-01-05 14:00,,0.885,12.008
2019-01-05 15:00,,0.868,11.711
2019-01-05 16:00,,0.856,11.518
2019-01-05 17:00,,0.834,11.205
2019-01-05 18:00,,0.841,11.296
2019-01-05 19:00,,0.832,11.177
2019-01-05 20:00,,0.833,11.193
2019-01-05 21:00,,0.832,11.169
2019-01-05 22:00,,0.833,11.187
2019-01-05 23:00,,0.827,11.097
2019-01-06 00:00,,0.812,10.900
2019-01-06 01:00,,0.815,10.956
2019-01-06 02:00,,0.826,11.091
2019-01-06 03:00,,0.829,11.135
2019-01-06 04:00,,0.831,11.157
2019-01-06 05:00,,0.841,11.307
2019-01-06 06:00,,0.857,11.530
2019-01-06 07:00,,0.864,11.642
2019-01-06 08:00,,0.866,11.675
2019-01-06 09:00,,0.855,11.502
2019-01-06 10:00,,0.847,11.391
2019-01-06 11:00,,0.844,11.340
2019-01-06 12:00,,0.839,11.267
2019-01-06 13:00,,0.838,11.255
2019-01-06 14:00,,0.837,11.247
2019-01-06 15:00,,0.823,11.053
2019-01-06 16:00,,0.772,10.449
2019-01-06 17:00,,0.741,10.136
2019-01-06 18:00,,0.765,10.370
2019-01-06 19:00,,0.772,10.447
2019-01-06 20:00,,0.783,10.574
2019-01-06 21:00,,0.793,10.690
2019-01-06 22:00,,0.800,10.769
2019-01-06 23:00,,0.806,10.838
2019-01-07 00:00,,0.795,10.711
2019-01-07 01:00,,0.744,10.158
2019-01-07 02:00,,0.740,10.123
2019-01-07 03:00,,0.711,9.849
2019-01-07 04:00,,0.651,9.330
2019-01-07 05:00,,0.630,9.154
2019-01-07 06:00,,0.607,8.978
2019-01-07 07:00,,0.583,8.787
2019-01-07 08:00,,0.574,8.722
2019-01-07 09:00,,0.635,9.187
2019-01-07 10:00,,0.772,10.447
2019-01-07 11:00,,0.896,12.215
2019-01-07 12:00,,0.947,13.554
2019-01-07 13:00,,0.962,14.139
2019-01-07 14:00,,0.976,14.888
2019-01-07 15:00,,0.986,15.789
2019-01-07 16:00,,0.991,16.864
2019-01-07 17:00,,0.988,16.094
2019-01-07 18:00,,0.989,16.312
2019-01-07 19:00,,0.991,16.802
2019-01-07 20:00,,0.990,17.719
2019-01-07 21:00,,0.985,18.435
2019-01-07 22:00,,0.983,18.612
2019-01-07 23:00,,0.980,18.785
2019-01-08 00:00,,0.970,19.366
2019-01-08 01:00,,0.967,19.491
2019-01-08 02:00,,0.975,19.101
2019-01-08 03:00,,0.976,19.030
2019-01-08 04:00,,0.969,19.403
2019-01-08 05:00,,0.980,18.821
2019-01-08 06:00,,0.973,19.201
2019-01-08 07:00,,0.921,20.780
2019-01-08 08:00,,0.850,21.905
2019-01-08 09:00,,0.854,21.857
2019-01-08 10:00,,0.909,21.014
2019-01-08 11:00,,0.947,20.159
2019-01-08 12:00,,0.959,19.775
2019-01-08 13:00,,0.968,19.457
2019-01-08 14:00,,0.983,18.589
2019-01-08 15:00,,0.989,17.904
2019-01-08 16:00,,0.991,17.421
2019-01-08 17:00,,0.991,17.029
2019-01-08 18:00,,0.990,16.477
2019-01-08 19:00,,0.988,15.997
2019-01-08 20:00,,0.983,15.493
2019-01-08 21:00,,0.979,15.144
2019-01-08 22:00,,0.977,14.963
2019-01-08 23:00,,0.976,14.884
2019-01-09 00:00,,0.975,14.848
