time;CF;wind_speed
01-01-2019 00:00;0.985;18.374
01-01-2019 01:00;0.971;19.303
01-01-2019 02:00;0.947;20.16
01-01-2019 03:00;0.912;20.948
01-01-2019 04:00;0.832;22.123
01-01-2019 05:00;0.779;22.712
01-01-2019 06:00;0.7;23.441
01-01-2019 07:00;0.629;24.026
01-01-2019 08:00;0.576;24.44
01-01-2019 09:00;0.56;24.556
01-01-2019 10:00;0.558;24.578
01-01-2019 11:00;0.559;24.566
01-01-2019 12:00;0.55;24.633
01-01-2019 13:00;0.537;24.736
01-01-2019 14:00;0.531;24.773
01-01-2019 15:00;0.479;25.167
01-01-2019 16:00;0.474;25.201
01-01-2019 17:00;0.54;24.713
01-01-2019 18:00;0.656;23.805
01-01-2019 19:00;0.762;22.875
01-01-2019 20:00;0.841;22.015
01-01-2019 21:00;0.884;21.426
01-01-2019 22:00;0.91;20.986
01-01-2019 23:00;0.938;20.398
02-01-2019 00:00;0.964;19.623
02-01-2019 01:00;0.98;18.828
02-01-2019 02:00;0.988;18.014
02-01-2019 03:00;0.991;16.86
02-01-2019 04:00;0.985;15.672
02-01-2019 05:00;0.97;14.552
02-01-2019 06:00;0.945;13.5
02-01-2019 07:00;0.913;12.579
02-01-2019 08:00;0.883;11.98
02-01-2019 09:00;0.863;11.638
02-01-2019 10:00;0.855;11.503
02-01-2019 11:00;0.871;11.769
02-01-2019 12:00;0.896;12.229
02-01-2019 13:00;0.917;12.69
02-01-2019 14:00;0.93;13.013
02-01-2019 15:00;0.932;13.091
02-01-2019 16:00;0.924;12.86
02-01-2019 17:00;0.907;12.46
02-01-2019 18:00;0.884;11.994
02-01-2019 19:00;0.852;11.463
02-01-2019 20:00;0.82;11.021
02-01-2019 21:00;0.816;10.965
02-01-2019 22:00;0.835;11.219
02-01-2019 23:00;0.857;11.535
03-01-2019 00:00;0.863;11.64
03-01-2019 01:00;0.848;11.394
03-01-2019 02:00;0.824;11.069
03-01-2019 03:00;0.793;10.68
03-01-2019 04:00;0.762;10.333
03-01-2019 05:00;0.73;10.024
03-01-2019 06:00;0.693;9.68
03-01-2019 07:00;0.646;9.284
03-01-2019 08:00;0.606;8.964
03-01-2019 09:00;0.596;8.887
03-01-2019 10:00;0.59;8.846
03-01-2019 11:00;0.596;8.891
03-01-2019 12:00;0.644;9.272
03-01-2019 13:00;0.744;10.149
03-01-2019 14:00;0.797;10.733
03-01-2019 15:00;0.752;10.243
03-01-2019 16:00;0.73;10.026
03-01-2019 17:00;0.777;10.498
03-01-2019 18:00;0.827;11.105
03-01-2019 19:00;0.856;11.522
03-01-2019 20:00;0.855;11.504
03-01-2019 21:00;0.875;11.839
03-01-2019 22:00;0.906;12.441
03-01-2019 23:00;0.927;12.952
04-01-2019 00:00;0.939;13.302
04-01-2019 01:00;0.948;13.578
04-01-2019 02:00;0.957;13.924
04-01-2019 03:00;0.964;14.263
